device_number,hoursfloor,poke_reward,count,mode,sex,days
1,34,Inactive,2,Social,m,1
1,35,Active,32,Social,m,1
1,35,Inactive,0,Social,m,1
1,36,Active,41,Social,m,1
1,36,Inactive,7,Social,m,1
1,37,Active,36,Social,m,1
1,37,Inactive,4,Social,m,1
1,38,Active,24,Social,m,1
1,38,Inactive,3,Social,m,1
1,39,Active,6,Social,m,1
1,39,Inactive,1,Social,m,1
1,40,Active,20,Social,m,1
1,40,Inactive,0,Social,m,1
1,41,Active,24,Social,m,1
1,41,Inactive,2,Social,m,1
1,42,Active,23,Social,m,1
1,42,Inactive,1,Social,m,1
1,43,Active,0,Social,m,1
1,43,Inactive,0,Social,m,1
1,44,Active,13,Social,m,1
1,44,Inactive,2,Social,m,1
1,45,Active,1,Social,m,1
1,45,Inactive,0,Social,m,1
1,46,Active,0,Social,m,1
1,46,Inactive,1,Social,m,1
1,47,Active,7,Social,m,1
1,47,Inactive,1,Social,m,1
1,48,Active,19,Social,m,2
1,48,Inactive,2,Social,m,2
1,49,Active,0,Social,m,2
1,49,Inactive,0,Social,m,2
1,50,Active,2,Social,m,2
1,50,Inactive,1,Social,m,2
1,51,Active,0,Social,m,2
1,51,Inactive,0,Social,m,2
1,52,Active,0,Social,m,2
1,52,Inactive,1,Social,m,2
1,53,Active,20,Social,m,2
1,53,Inactive,10,Social,m,2
1,54,Active,2,Social,m,2
1,54,Inactive,0,Social,m,2
1,55,Active,34,Social,m,2
1,55,Inactive,5,Social,m,2
1,56,Active,10,Social,m,2
1,56,Inactive,0,Social,m,2
1,57,Active,29,Social,m,2
1,57,Inactive,1,Social,m,2
1,58,Active,17,Social,m,2
1,58,Inactive,0,Social,m,2
1,59,Active,27,Social,m,2
1,59,Inactive,4,Social,m,2
1,60,Active,35,Social,m,2
1,60,Inactive,5,Social,m,2
1,61,Active,58,Social,m,2
1,61,Inactive,15,Social,m,2
1,62,Active,21,Social,m,2
1,62,Inactive,8,Social,m,2
1,63,Active,35,Social,m,2
1,63,Inactive,13,Social,m,2
1,64,Active,11,Social,m,2
1,64,Inactive,13,Social,m,2
1,65,Active,10,Social,m,2
1,65,Inactive,0,Social,m,2
1,66,Active,20,Social,m,2
1,66,Inactive,4,Social,m,2
1,67,Active,5,Social,m,2
1,67,Inactive,3,Social,m,2
1,68,Active,0,Social,m,2
1,68,Inactive,0,Social,m,2
1,69,Active,12,Social,m,2
1,69,Inactive,4,Social,m,2
1,70,Active,8,Social,m,2
1,70,Inactive,1,Social,m,2
1,71,Active,0,Social,m,2
1,71,Inactive,1,Social,m,2
4,-72,Active,0,Empty,f,-3
4,-72,Inactive,3,Empty,f,-3
4,-71,Active,1,Empty,f,-3
4,-71,Inactive,0,Empty,f,-3
4,-70,Active,0,Empty,f,-3
4,-70,Inactive,0,Empty,f,-3
4,-69,Active,1,Empty,f,-3
4,-69,Inactive,1,Empty,f,-3
4,-68,Active,4,Empty,f,-3
4,-68,Inactive,0,Empty,f,-3
4,-67,Active,0,Empty,f,-3
4,-67,Inactive,0,Empty,f,-3
4,-66,Active,0,Empty,f,-3
4,-66,Inactive,0,Empty,f,-3
4,-65,Active,0,Empty,f,-3
4,-65,Inactive,1,Empty,f,-3
4,-64,Active,17,Empty,f,-3
4,-64,Inactive,1,Empty,f,-3
4,-63,Active,1,Empty,f,-3
4,-63,Inactive,0,Empty,f,-3
4,-62,Active,22,Empty,f,-3
4,-62,Inactive,4,Empty,f,-3
4,-61,Active,23,Empty,f,-3
4,-61,Inactive,7,Empty,f,-3
4,-60,Active,13,Empty,f,-3
4,-60,Inactive,3,Empty,f,-3
4,-59,Active,16,Empty,f,-3
4,-59,Inactive,0,Empty,f,-3
4,-58,Active,51,Empty,f,-3
4,-58,Inactive,9,Empty,f,-3
4,-57,Active,3,Empty,f,-3
4,-57,Inactive,12,Empty,f,-3
4,-56,Active,3,Empty,f,-3
4,-56,Inactive,0,Empty,f,-3
4,-55,Active,8,Empty,f,-3
4,-55,Inactive,0,Empty,f,-3
4,-54,Active,5,Empty,f,-3
4,-54,Inactive,6,Empty,f,-3
4,-53,Active,0,Empty,f,-3
4,-53,Inactive,0,Empty,f,-3
4,-52,Active,0,Empty,f,-3
4,-52,Inactive,0,Empty,f,-3
4,-51,Active,2,Empty,f,-3
4,-51,Inactive,4,Empty,f,-3
4,-50,Active,0,Empty,f,-3
4,-50,Inactive,0,Empty,f,-3
4,-49,Active,0,Empty,f,-3
4,-49,Inactive,0,Empty,f,-3
4,-48,Active,5,Empty,f,-2
4,-48,Inactive,1,Empty,f,-2
4,-47,Active,0,Empty,f,-2
4,-47,Inactive,0,Empty,f,-2
4,-46,Active,3,Empty,f,-2
4,-46,Inactive,0,Empty,f,-2
4,-45,Active,0,Empty,f,-2
4,-45,Inactive,0,Empty,f,-2
4,-44,Active,6,Empty,f,-2
4,-44,Inactive,2,Empty,f,-2
4,-43,Active,0,Empty,f,-2
4,-43,Inactive,0,Empty,f,-2
4,-42,Active,7,Empty,f,-2
4,-42,Inactive,3,Empty,f,-2
4,-41,Active,0,Empty,f,-2
4,-41,Inactive,0,Empty,f,-2
4,-40,Active,2,Empty,f,-2
4,-40,Inactive,0,Empty,f,-2
4,-39,Active,8,Empty,f,-2
4,-39,Inactive,3,Empty,f,-2
4,-38,Active,5,Empty,f,-2
4,-38,Inactive,3,Empty,f,-2
4,-37,Active,6,Empty,f,-2
4,-37,Inactive,0,Empty,f,-2
4,-36,Active,4,Empty,f,-2
4,-36,Inactive,2,Empty,f,-2
4,-35,Active,12,Empty,f,-2
4,-35,Inactive,3,Empty,f,-2
4,-34,Active,9,Empty,f,-2
4,-34,Inactive,3,Empty,f,-2
4,-33,Active,18,Empty,f,-2
4,-33,Inactive,53,Empty,f,-2
4,-32,Active,0,Empty,f,-2
4,-32,Inactive,0,Empty,f,-2
4,-31,Active,4,Empty,f,-2
4,-31,Inactive,3,Empty,f,-2
4,-30,Active,18,Empty,f,-2
4,-30,Inactive,3,Empty,f,-2
4,-29,Active,0,Empty,f,-2
4,-29,Inactive,0,Empty,f,-2
4,-28,Active,0,Empty,f,-2
4,-28,Inactive,1,Empty,f,-2
4,-27,Active,0,Empty,f,-2
4,-27,Inactive,0,Empty,f,-2
4,-26,Active,0,Empty,f,-2
4,-26,Inactive,0,Empty,f,-2
4,-25,Active,2,Empty,f,-2
4,-25,Inactive,2,Empty,f,-2
4,-24,Active,0,Empty,f,-1
4,-24,Inactive,0,Empty,f,-1
4,-23,Active,1,Empty,f,-1
4,-23,Inactive,0,Empty,f,-1
4,-22,Active,3,Empty,f,-1
4,-22,Inactive,0,Empty,f,-1
4,-21,Active,0,Empty,f,-1
4,-21,Inactive,1,Empty,f,-1
4,-20,Active,1,Empty,f,-1
4,-20,Inactive,0,Empty,f,-1
4,-19,Active,0,Empty,f,-1
4,-19,Inactive,0,Empty,f,-1
4,-18,Active,3,Empty,f,-1
4,-18,Inactive,2,Empty,f,-1
4,-17,Active,11,Empty,f,-1
4,-17,Inactive,13,Empty,f,-1
4,-16,Active,3,Empty,f,-1
4,-16,Inactive,1,Empty,f,-1
4,-15,Active,5,Empty,f,-1
4,-15,Inactive,6,Empty,f,-1
4,-14,Active,1,Empty,f,-1
4,-14,Inactive,0,Empty,f,-1
4,-13,Active,5,Empty,f,-1
4,-13,Inactive,6,Empty,f,-1
4,-12,Active,14,Empty,f,-1
4,-12,Inactive,8,Empty,f,-1
4,-11,Active,7,Empty,f,-1
4,-11,Inactive,12,Empty,f,-1
4,-10,Active,7,Empty,f,-1
4,-10,Inactive,9,Empty,f,-1
4,-9,Active,12,Empty,f,-1
4,-9,Inactive,7,Empty,f,-1
4,-8,Active,2,Empty,f,-1
4,-8,Inactive,2,Empty,f,-1
4,-7,Active,3,Empty,f,-1
4,-7,Inactive,0,Empty,f,-1
4,-6,Active,6,Empty,f,-1
4,-6,Inactive,5,Empty,f,-1
4,-5,Active,0,Empty,f,-1
4,-5,Inactive,1,Empty,f,-1
4,-4,Active,3,Empty,f,-1
4,-4,Inactive,4,Empty,f,-1
4,-3,Active,0,Empty,f,-1
4,-3,Inactive,0,Empty,f,-1
4,-2,Active,0,Empty,f,-1
4,-2,Inactive,0,Empty,f,-1
4,-1,Active,0,Empty,f,-1
4,-1,Inactive,0,Empty,f,-1
4,0,Active,0,Social,f,0
4,0,Inactive,0,Social,f,0
4,1,Active,1,Social,f,0
4,1,Inactive,2,Social,f,0
4,2,Active,0,Social,f,0
4,2,Inactive,0,Social,f,0
4,3,Active,3,Social,f,0
4,3,Inactive,4,Social,f,0
4,4,Active,10,Social,f,0
4,4,Inactive,2,Social,f,0
4,5,Active,0,Social,f,0
4,5,Inactive,1,Social,f,0
4,6,Active,1,Social,f,0
4,6,Inactive,1,Social,f,0
4,7,Active,4,Social,f,0
4,7,Inactive,2,Social,f,0
4,8,Active,13,Social,f,0
4,8,Inactive,6,Social,f,0
4,9,Active,9,Social,f,0
4,9,Inactive,3,Social,f,0
4,10,Active,16,Social,f,0
4,10,Inactive,8,Social,f,0
4,11,Active,14,Social,f,0
4,11,Inactive,1,Social,f,0
4,12,Active,5,Social,f,0
4,12,Inactive,0,Social,f,0
4,13,Active,14,Social,f,0
4,13,Inactive,1,Social,f,0
4,14,Active,13,Social,f,0
4,14,Inactive,7,Social,f,0
4,15,Active,8,Social,f,0
4,15,Inactive,4,Social,f,0
4,16,Active,32,Social,f,0
4,16,Inactive,10,Social,f,0
4,17,Active,3,Social,f,0
4,17,Inactive,2,Social,f,0
4,18,Active,0,Social,f,0
4,18,Inactive,0,Social,f,0
4,19,Active,0,Social,f,0
4,19,Inactive,0,Social,f,0
4,20,Active,0,Social,f,0
4,20,Inactive,0,Social,f,0
4,21,Active,6,Social,f,0
4,21,Inactive,2,Social,f,0
4,22,Active,0,Social,f,0
4,22,Inactive,0,Social,f,0
4,23,Active,0,Social,f,0
4,23,Inactive,0,Social,f,0
4,24,Active,0,Social,f,1
4,24,Inactive,2,Social,f,1
4,25,Active,2,Social,f,1
4,25,Inactive,1,Social,f,1
4,26,Active,17,Social,f,1
4,26,Inactive,7,Social,f,1
4,27,Active,6,Social,f,1
4,27,Inactive,2,Social,f,1
4,28,Active,4,Social,f,1
4,28,Inactive,4,Social,f,1
4,29,Active,1,Social,f,1
4,29,Inactive,0,Social,f,1
4,30,Active,2,Social,f,1
4,30,Inactive,1,Social,f,1
4,31,Active,16,Social,f,1
4,31,Inactive,4,Social,f,1
4,32,Active,8,Social,f,1
4,32,Inactive,4,Social,f,1
4,33,Active,7,Social,f,1
4,33,Inactive,4,Social,f,1
4,34,Active,14,Social,f,1
4,34,Inactive,4,Social,f,1
4,35,Active,16,Social,f,1
4,35,Inactive,4,Social,f,1
4,36,Active,2,Social,f,1
4,36,Inactive,2,Social,f,1
4,37,Active,7,Social,f,1
4,37,Inactive,0,Social,f,1
4,38,Active,8,Social,f,1
4,38,Inactive,2,Social,f,1
4,39,Active,12,Social,f,1
4,39,Inactive,2,Social,f,1
4,40,Active,14,Social,f,1
4,40,Inactive,11,Social,f,1
4,41,Active,5,Social,f,1
4,41,Inactive,3,Social,f,1
4,42,Active,1,Social,f,1
4,42,Inactive,0,Social,f,1
4,43,Active,0,Social,f,1
4,43,Inactive,0,Social,f,1
4,44,Active,11,Social,f,1
4,44,Inactive,2,Social,f,1
4,45,Active,0,Social,f,1
4,45,Inactive,0,Social,f,1
4,46,Active,0,Social,f,1
4,46,Inactive,0,Social,f,1
4,47,Active,0,Social,f,1
4,47,Inactive,0,Social,f,1
4,48,Active,9,Social,f,2
4,48,Inactive,2,Social,f,2
4,49,Active,0,Social,f,2
4,49,Inactive,0,Social,f,2
4,50,Active,0,Social,f,2
4,50,Inactive,0,Social,f,2
4,51,Active,0,Social,f,2
4,51,Inactive,1,Social,f,2
4,52,Active,7,Social,f,2
4,52,Inactive,3,Social,f,2
4,53,Active,1,Social,f,2
4,53,Inactive,0,Social,f,2
4,54,Active,20,Social,f,2
4,54,Inactive,3,Social,f,2
4,55,Active,10,Social,f,2
4,55,Inactive,5,Social,f,2
4,56,Active,14,Social,f,2
4,56,Inactive,4,Social,f,2
4,57,Active,7,Social,f,2
4,57,Inactive,2,Social,f,2
4,58,Active,16,Social,f,2
4,58,Inactive,4,Social,f,2
4,59,Active,26,Social,f,2
4,59,Inactive,6,Social,f,2
4,60,Active,12,Social,f,2
4,60,Inactive,4,Social,f,2
4,61,Active,26,Social,f,2
4,61,Inactive,4,Social,f,2
4,62,Active,28,Social,f,2
4,62,Inactive,2,Social,f,2
4,63,Active,5,Social,f,2
4,63,Inactive,2,Social,f,2
4,64,Active,10,Social,f,2
4,64,Inactive,4,Social,f,2
4,65,Active,0,Social,f,2
4,65,Inactive,0,Social,f,2
4,66,Active,2,Social,f,2
4,66,Inactive,0,Social,f,2
4,67,Active,0,Social,f,2
4,67,Inactive,0,Social,f,2
4,68,Active,8,Social,f,2
4,68,Inactive,2,Social,f,2
4,69,Active,9,Social,f,2
4,69,Inactive,3,Social,f,2
4,70,Active,0,Social,f,2
4,70,Inactive,0,Social,f,2
4,71,Active,7,Social,f,2
4,71,Inactive,1,Social,f,2
7,-72,Active,0,Empty,f,-3
7,-72,Inactive,0,Empty,f,-3
7,-71,Active,0,Empty,f,-3
7,-71,Inactive,0,Empty,f,-3
7,-70,Active,0,Empty,f,-3
7,-70,Inactive,0,Empty,f,-3
7,-69,Active,2,Empty,f,-3
7,-69,Inactive,1,Empty,f,-3
7,-68,Active,0,Empty,f,-3
7,-68,Inactive,0,Empty,f,-3
7,-67,Active,0,Empty,f,-3
7,-67,Inactive,0,Empty,f,-3
7,-66,Active,2,Empty,f,-3
7,-66,Inactive,2,Empty,f,-3
7,-65,Active,8,Empty,f,-3
7,-65,Inactive,2,Empty,f,-3
7,-64,Active,4,Empty,f,-3
7,-64,Inactive,2,Empty,f,-3
7,-63,Active,7,Empty,f,-3
7,-63,Inactive,7,Empty,f,-3
7,-62,Active,5,Empty,f,-3
7,-62,Inactive,0,Empty,f,-3
7,-61,Active,7,Empty,f,-3
7,-61,Inactive,3,Empty,f,-3
7,-60,Active,8,Empty,f,-3
7,-60,Inactive,1,Empty,f,-3
7,-59,Active,16,Empty,f,-3
7,-59,Inactive,3,Empty,f,-3
7,-58,Active,5,Empty,f,-3
7,-58,Inactive,0,Empty,f,-3
7,-57,Active,4,Empty,f,-3
7,-57,Inactive,0,Empty,f,-3
7,-56,Active,11,Empty,f,-3
7,-56,Inactive,2,Empty,f,-3
7,-55,Active,8,Empty,f,-3
7,-55,Inactive,3,Empty,f,-3
7,-54,Active,0,Empty,f,-3
7,-54,Inactive,1,Empty,f,-3
7,-53,Active,0,Empty,f,-3
7,-53,Inactive,1,Empty,f,-3
7,-52,Active,4,Empty,f,-3
7,-52,Inactive,3,Empty,f,-3
7,-51,Active,0,Empty,f,-3
7,-51,Inactive,0,Empty,f,-3
7,-50,Active,0,Empty,f,-3
7,-50,Inactive,0,Empty,f,-3
7,-49,Active,0,Empty,f,-3
7,-49,Inactive,0,Empty,f,-3
7,-48,Active,0,Empty,f,-2
7,-48,Inactive,1,Empty,f,-2
7,-47,Active,0,Empty,f,-2
7,-47,Inactive,3,Empty,f,-2
7,-46,Active,4,Empty,f,-2
7,-46,Inactive,2,Empty,f,-2
7,-45,Active,0,Empty,f,-2
7,-45,Inactive,0,Empty,f,-2
7,-44,Active,0,Empty,f,-2
7,-44,Inactive,0,Empty,f,-2
7,-43,Active,0,Empty,f,-2
7,-43,Inactive,0,Empty,f,-2
7,-42,Active,0,Empty,f,-2
7,-42,Inactive,0,Empty,f,-2
7,-41,Active,18,Empty,f,-2
7,-41,Inactive,1,Empty,f,-2
7,-40,Active,2,Empty,f,-2
7,-40,Inactive,0,Empty,f,-2
7,-39,Active,12,Empty,f,-2
7,-39,Inactive,3,Empty,f,-2
7,-38,Active,9,Empty,f,-2
7,-38,Inactive,1,Empty,f,-2
7,-37,Active,3,Empty,f,-2
7,-37,Inactive,1,Empty,f,-2
7,-36,Active,0,Empty,f,-2
7,-36,Inactive,0,Empty,f,-2
7,-35,Active,0,Empty,f,-2
7,-35,Inactive,0,Empty,f,-2
7,-34,Active,1,Empty,f,-2
7,-34,Inactive,0,Empty,f,-2
7,-33,Active,5,Empty,f,-2
7,-33,Inactive,0,Empty,f,-2
7,-32,Active,2,Empty,f,-2
7,-32,Inactive,0,Empty,f,-2
7,-31,Active,0,Empty,f,-2
7,-31,Inactive,0,Empty,f,-2
7,-30,Active,0,Empty,f,-2
7,-30,Inactive,0,Empty,f,-2
7,-29,Active,0,Empty,f,-2
7,-29,Inactive,0,Empty,f,-2
7,-28,Active,0,Empty,f,-2
7,-28,Inactive,1,Empty,f,-2
7,-27,Active,0,Empty,f,-2
7,-27,Inactive,0,Empty,f,-2
7,-26,Active,1,Empty,f,-2
7,-26,Inactive,0,Empty,f,-2
7,-25,Active,0,Empty,f,-2
7,-25,Inactive,0,Empty,f,-2
7,-24,Active,0,Empty,f,-1
7,-24,Inactive,0,Empty,f,-1
7,-23,Active,0,Empty,f,-1
7,-23,Inactive,0,Empty,f,-1
7,-22,Active,0,Empty,f,-1
7,-22,Inactive,0,Empty,f,-1
7,-21,Active,0,Empty,f,-1
7,-21,Inactive,0,Empty,f,-1
7,-20,Active,0,Empty,f,-1
7,-20,Inactive,0,Empty,f,-1
7,-19,Active,0,Empty,f,-1
7,-19,Inactive,0,Empty,f,-1
7,-18,Active,3,Empty,f,-1
7,-18,Inactive,0,Empty,f,-1
7,-17,Active,6,Empty,f,-1
7,-17,Inactive,1,Empty,f,-1
7,-16,Active,6,Empty,f,-1
7,-16,Inactive,2,Empty,f,-1
7,-15,Active,6,Empty,f,-1
7,-15,Inactive,0,Empty,f,-1
7,-14,Active,4,Empty,f,-1
7,-14,Inactive,0,Empty,f,-1
7,-13,Active,11,Empty,f,-1
7,-13,Inactive,2,Empty,f,-1
7,-12,Active,2,Empty,f,-1
7,-12,Inactive,1,Empty,f,-1
7,-11,Active,0,Empty,f,-1
7,-11,Inactive,0,Empty,f,-1
7,-10,Active,15,Empty,f,-1
7,-10,Inactive,7,Empty,f,-1
7,-9,Active,7,Empty,f,-1
7,-9,Inactive,4,Empty,f,-1
7,-8,Active,8,Empty,f,-1
7,-8,Inactive,0,Empty,f,-1
7,-7,Active,3,Empty,f,-1
7,-7,Inactive,0,Empty,f,-1
7,-6,Active,0,Empty,f,-1
7,-6,Inactive,0,Empty,f,-1
7,-5,Active,0,Empty,f,-1
7,-5,Inactive,0,Empty,f,-1
7,-4,Active,0,Empty,f,-1
7,-4,Inactive,0,Empty,f,-1
7,-3,Active,0,Empty,f,-1
7,-3,Inactive,0,Empty,f,-1
7,-2,Active,0,Empty,f,-1
7,-2,Inactive,0,Empty,f,-1
7,-1,Active,1,Empty,f,-1
7,-1,Inactive,2,Empty,f,-1
7,0,Active,2,Social,f,0
7,0,Inactive,0,Social,f,0
7,1,Active,0,Social,f,0
7,1,Inactive,1,Social,f,0
7,2,Active,5,Social,f,0
7,2,Inactive,1,Social,f,0
7,3,Active,4,Social,f,0
7,3,Inactive,2,Social,f,0
7,4,Active,0,Social,f,0
7,4,Inactive,0,Social,f,0
7,5,Active,0,Social,f,0
7,5,Inactive,0,Social,f,0
7,6,Active,4,Social,f,0
7,6,Inactive,2,Social,f,0
7,7,Active,4,Social,f,0
7,7,Inactive,0,Social,f,0
7,8,Active,7,Social,f,0
7,8,Inactive,1,Social,f,0
7,9,Active,4,Social,f,0
7,9,Inactive,0,Social,f,0
7,10,Active,21,Social,f,0
7,10,Inactive,3,Social,f,0
7,11,Active,10,Social,f,0
7,11,Inactive,1,Social,f,0
7,12,Active,26,Social,f,0
7,12,Inactive,1,Social,f,0
7,13,Active,31,Social,f,0
7,13,Inactive,3,Social,f,0
7,14,Active,27,Social,f,0
7,14,Inactive,2,Social,f,0
7,15,Active,19,Social,f,0
7,15,Inactive,4,Social,f,0
7,16,Active,0,Social,f,0
7,16,Inactive,0,Social,f,0
7,17,Active,1,Social,f,0
7,17,Inactive,0,Social,f,0
7,18,Active,0,Social,f,0
7,18,Inactive,0,Social,f,0
7,19,Active,3,Social,f,0
7,19,Inactive,3,Social,f,0
7,20,Active,0,Social,f,0
7,20,Inactive,0,Social,f,0
7,21,Active,1,Social,f,0
7,21,Inactive,0,Social,f,0
7,22,Active,0,Social,f,0
7,22,Inactive,0,Social,f,0
7,23,Active,0,Social,f,0
7,23,Inactive,0,Social,f,0
7,24,Active,0,Social,f,1
7,24,Inactive,0,Social,f,1
7,25,Active,1,Social,f,1
7,25,Inactive,0,Social,f,1
7,26,Active,0,Social,f,1
7,26,Inactive,0,Social,f,1
7,27,Active,0,Social,f,1
7,27,Inactive,0,Social,f,1
7,28,Active,0,Social,f,1
7,28,Inactive,0,Social,f,1
7,29,Active,0,Social,f,1
7,29,Inactive,0,Social,f,1
7,30,Active,56,Social,f,1
7,30,Inactive,6,Social,f,1
7,31,Active,42,Social,f,1
7,31,Inactive,2,Social,f,1
7,32,Active,35,Social,f,1
7,32,Inactive,8,Social,f,1
7,33,Active,30,Social,f,1
7,33,Inactive,3,Social,f,1
7,34,Active,23,Social,f,1
7,34,Inactive,3,Social,f,1
7,35,Active,0,Social,f,1
7,35,Inactive,0,Social,f,1
7,36,Active,29,Social,f,1
7,36,Inactive,2,Social,f,1
7,37,Active,35,Social,f,1
7,37,Inactive,8,Social,f,1
7,38,Active,14,Social,f,1
7,38,Inactive,3,Social,f,1
7,39,Active,20,Social,f,1
7,39,Inactive,8,Social,f,1
